cve_id,description,actual_full,actual,predicted,correct,metric
CVE-2024-47651,This vulnerability exists in Shilpi Client Dashboard due to improper handling of multiple parameters...,NETWORK,N,N,True,AV
CVE-2024-6400,Cleartext Storage of Sensitive Information vulnerability in Finrota Netahsilat allows Retrieve Embed...,NETWORK,N,N,True,AV
CVE-2024-47652,This vulnerability exists in Shilpi Client Dashboard due to implementation of inadequate authenticat...,NETWORK,N,N,True,AV
CVE-2024-47653,This vulnerability exists in Shilpi Client Dashboard due to lack of authorization for modification a...,NETWORK,N,N,True,AV
CVE-2024-47654,This vulnerability exists in Shilpi Client Dashboard due to lack of rate limiting and Captcha protec...,NETWORK,N,N,True,AV
CVE-2024-47655,This vulnerability exists in the Shilpi Client Dashboard due to improper validation of files being u...,NETWORK,N,N,True,AV
CVE-2024-47656,This vulnerability exists in Shilpi Client Dashboard due to missing restrictions for incorrect login...,NETWORK,N,N,True,AV
CVE-2024-47657,This vulnerability exists in the Shilpi Net Back Office due to improper access controls on certain A...,NETWORK,N,N,True,AV
CVE-2024-47789,** UNSUPPORTED WHEN ASSIGNED ** This vulnerability exists in D3D Security IP Camera D8801 due to usa...,NETWORK,N,N,True,AV
CVE-2024-47790,** UNSUPPORTED WHEN ASSIGNED ** This vulnerability exists in D3D Security IP Camera D8801 due to usa...,NETWORK,N,N,True,AV
CVE-2024-9513,A vulnerability was found in Netadmin Software NetAdmin IAM up to 3.5 and classified as problematic....,NETWORK,N,N,True,AV
CVE-2024-9514,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA. It has been declared as critical. This vu...,NETWORK,N,N,True,AV
CVE-2024-9515,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA. It has been classified as critical. This ...,NETWORK,N,N,True,AV
CVE-2024-47765,Minecraft MOTD Parser is a PHP library to parse minecraft server motd. The HtmlGenerator class is su...,NETWORK,N,N,True,AV
CVE-2024-47768,Lif Authentication Server is a server used by Lif to do various tasks regarding Lif accounts. This v...,NETWORK,N,N,True,AV
CVE-2024-43683,URL Redirection to Untrusted Site ('Open Redirect') vulnerability in Microchip TimeProvider 4100 all...,NETWORK,N,N,True,AV
CVE-2024-43684,Cross-Site Request Forgery (CSRF) vulnerability in Microchip TimeProvider 4100 allows Cross Site Req...,NETWORK,N,N,True,AV
CVE-2024-43685,Improper Authentication vulnerability in Microchip TimeProvider 4100 (login modules) allows Session ...,NETWORK,N,N,True,AV
CVE-2024-43686,Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerab...,ADJACENT,A,N,False,AV
CVE-2024-43687,Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerab...,ADJACENT,A,N,False,AV
CVE-2024-47764,cookie is a basic HTTP cookie parser and serializer for HTTP servers. The cookie name could be used ...,NETWORK,N,N,True,AV
CVE-2024-7801,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability i...,NETWORK,N,N,True,AV
CVE-2024-9054,"Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'), Exposure...",NETWORK,N,N,True,AV
CVE-2024-47848,Exposure of Sensitive Information to an Unauthorized Actor vulnerability in The Wikimedia Foundation...,NETWORK,N,N,True,AV
CVE-2024-47840,Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerab...,NETWORK,N,N,True,AV
CVE-2024-47845,Improper Encoding or Escaping of Output vulnerability in The Wikimedia Foundation Mediawiki - CSS Ex...,NETWORK,N,N,True,AV
CVE-2024-47846,Cross-Site Request Forgery (CSRF) vulnerability in The Wikimedia Foundation Mediawiki - Cargo allows...,NETWORK,N,N,True,AV
CVE-2024-47847,Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerab...,NETWORK,N,N,True,AV
CVE-2024-47849,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability i...,NETWORK,N,N,True,AV
CVE-2024-47841,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability in The ...,NETWORK,N,N,True,AV
CVE-2024-9532,A vulnerability has been found in D-Link DIR-605L 2.13B01 BETA and classified as critical. This vuln...,NETWORK,N,N,True,AV
CVE-2024-9533,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA and classified as critical. This issue aff...,NETWORK,N,N,True,AV
CVE-2024-9534,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA. It has been classified as critical. Affec...,NETWORK,N,N,True,AV
CVE-2024-9535,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA. It has been declared as critical. Affecte...,NETWORK,N,N,True,AV
CVE-2024-9536,A vulnerability was found in ESAFENET CDG V5. It has been rated as critical. Affected by this issue ...,NETWORK,N,N,True,AV
