cve_id,description,baseScore,baseSeverity,vectorString,attackVector,attackComplexity,attackRequirements,privilegesRequired,userInteraction,vulnConfidentialityImpact,vulnIntegrityImpact,vulnAvailabilityImpact,subConfidentialityImpact,subIntegrityImpact,subAvailabilityImpact,exploitMaturity,confidentialityRequirement,integrityRequirement,availabilityRequirement,modifiedAttackVector,modifiedAttackComplexity,modifiedAttackRequirements,modifiedPrivilegesRequired,modifiedUserInteraction,modifiedVulnConfidentialityImpact,modifiedVulnIntegrityImpact,modifiedVulnAvailabilityImpact,modifiedSubConfidentialityImpact,modifiedSubIntegrityImpact,modifiedSubAvailabilityImpact,Safety,Automatable,Recovery,valueDensity,vulnerabilityResponseEffort,providerUrgency
CVE-2024-7449,"A vulnerability, which was classified as critical, was found in itsourcecode Placement Management System 1.0. Affected is an unknown function of the file login.php. The manipulation of the argument email leads to sql injection. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-273540.",6.9,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,NONE,NONE,LOW,LOW,LOW,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7450,A vulnerability has been found in itsourcecode Placement Management System 1.0 and classified as critical. Affected by this vulnerability is an unknown functionality of the file /resume_upload.php of the component Image Handler. The manipulation of the argument fileToUpload leads to unrestricted upload. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-273541 was assigned to this vulnerability.,5.3,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,LOW,NONE,LOW,LOW,LOW,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7451,A vulnerability was found in itsourcecode Placement Management System 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file apply_now.php. The manipulation of the argument id leads to sql injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. VDB-273542 is the identifier assigned to this vulnerability.,5.3,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,LOW,NONE,LOW,LOW,LOW,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7452,A vulnerability was found in itsourcecode Placement Management System 1.0. It has been classified as critical. This affects an unknown part of the file view_company.php. The manipulation of the argument id leads to sql injection. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-273543.,5.3,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,LOW,NONE,LOW,LOW,LOW,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7453,A vulnerability was found in FastAdmin 1.5.0.20240328. It has been declared as problematic. This vulnerability affects unknown code of the file /[admins_url].php/general/attachment/edit/ids/4?dialog=1 of the component Attachment Management Section. The manipulation of the argument row[url]/row[imagewidth]/row[imageheight] leads to cross site scripting. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-273544.,5.1,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,HIGH,NONE,NONE,LOW,NONE,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7454,"A vulnerability, which was classified as critical, has been found in SourceCodester Clinics Patient Management System 1.0. Affected by this issue is the function patient_name of the file patients.php. The manipulation leads to sql injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-273548.",5.3,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,LOW,NONE,LOW,LOW,LOW,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7455,"A vulnerability, which was classified as critical, was found in itsourcecode Tailoring Management System 1.0. This affects an unknown part of the file partedit.php. The manipulation of the argument id leads to sql injection. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-273549 was assigned to this vulnerability.",5.3,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,LOW,NONE,LOW,LOW,LOW,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7458,A vulnerability was found in elunez eladmin up to 2.7 and classified as critical. This issue affects some unknown processing of the file /api/deploy/upload /api/database/upload of the component Database Management/Deployment Management. The manipulation of the argument file leads to path traversal: 'dir/../../filename'. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-273551.,5.1,MEDIUM,CVSS:4.0/AV:A/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,ADJACENT,LOW,NONE,LOW,NONE,LOW,LOW,LOW,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7459,A vulnerability was found in OSWAPP Warehouse Inventory System 1.0/2.0. It has been classified as problematic. Affected is an unknown function of the file /edit_account.php. The manipulation leads to cross-site request forgery. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-273552.,6.9,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,NONE,NONE,NONE,LOW,NONE,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
CVE-2024-7460,A vulnerability was found in OSWAPP Warehouse Inventory System 1.0/2.0. It has been declared as problematic. Affected by this vulnerability is an unknown functionality of the file /change_password.php. The manipulation leads to cross-site request forgery. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-273553 was assigned to this vulnerability.,6.9,MEDIUM,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,NETWORK,LOW,NONE,NONE,NONE,NONE,LOW,NONE,NONE,NONE,NONE,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
